name,nobluray,time
命运规划局 蓝光原盘下载+高清MKV版/联邦检察局 / 天网逆缘(港) / 联邦调查局 / 调整局 2011 The Adjustment Bureau 44.2G,电影,01-28
不良后果 WEB-DL版下载 2021 The Fallout 12.5G,蓝光高清,01-28
罗塞塔 蓝光高清MKV版/美丽罗赛塔(台) / 美丽萝赛塔 / 露茜妲 1999 Rosetta 7.6G,蓝光高清,01-27
华氏9/11 WEB-DL版下载/华氏九一一 / 华氏911 2004 Fahrenheit 9/11 4.7G,蓝光高清,01-27
"你瞧，网络世界的幻想 蓝光高清MKV版/网路世界的幻想(台) 2016 Lo and Behold, Reveries of the Connected World 6.6G",蓝光高清,01-25
世界上最糟糕的人 蓝光高清MKV版/尤利娅生命的十二段律动 / 世界上最坏的人 / Julie (en 12 chapitres) / The Worst Person in the World 2021 Verdens verste menneske 14.6G,蓝光高清,01-25
乡愁 蓝光高清MKV版/怀乡 / Nostalghia / Nostalgia 1983 Ностальгия 11.7G,蓝光高清,01-24
一个英雄 4K蓝光高清MKV版/A Hero 2021 13.9G قهرمان,4K,01-23
记忆 WEB-DL版下载 2021 Memoria 6.1G,电影,01-23
黑夜传说 4K蓝光原盘下载+高清MKV版/妖夜寻狼(港) / 决战异世界(台) 2003 Underworld 83.2G,4K,01-22
彩虹照耀 蓝光高清MKV版 2009 A Shine of Rainbows 6.6G,蓝光高清,01-22
柜中野兽 蓝光原盘下载+高清MKV版/爱人怪物(台) / 柜中怪兽 2015 Closet Monster 23.1G,电影,01-22
火线狙击 4K蓝光高清MKV版/火线大行动(台) / 火线追击 / 火线 1993 In the Line of Fire 86.9G,4K,01-19
一日钟情 蓝光原盘下载+高清MKV版/美好的一天 / 爱情吉日 1996 One Fine Day 32.0G,电影,01-19
曲线难题 蓝光原盘下载+高清MKV版/人生决胜球(港/台) 2012 Trouble with the Curve 22.8G,电影,01-19
发掘 蓝光高清MKV版/考古夺宝(港) / 古宝 / 挖掘 2021 The Dig 4.6G,蓝光高清,01-19
公主日记 4K蓝光高清MKV版/走佬俏公主(港) / 麻雀变公主(台) 2001 The Princess Diaries 24.7G,4K,01-18
为了她 蓝光高清MKV版/为爱，赎命(台) / 一切为了她 / Anything for Her 2008 Pour elle 8.7G,蓝光高清,01-16
暗处的女儿 蓝光高清MKV版/失去的女儿(港/台) / 失踪的女儿 / 迷失的女儿 2021 The Lost Daughter 6.3G,蓝光高清,01-16
杰伊·比姆 WEB-DL版下载/万岁毕姆 / 斗争万岁 2021 Jai Bhim 17.8G,蓝光高清,01-16
里卡多一家 4KWEB-DL下载+高清MKV版/露西尔与戴西 / Lucy and Desi 2021 Being the Ricardos 14.0G,蓝光高清,03-01
